time_period,time_identifier,geographic_level,country_code,country_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,Total,66.0
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,Total,56.5
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Black / African / Caribbean / Black British,High tariff,7.1
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Black / African / Caribbean / Black British,High tariff,7.7
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Black / African / Caribbean / Black British,Total,48.3
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Black / African / Caribbean / Black British,Total,63.8
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Mixed / Multiple ethnic groups,High tariff,11.4
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Mixed / Multiple ethnic groups,High tariff,10.8
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Mixed / Multiple ethnic groups,Total,49.7
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Mixed / Multiple ethnic groups,Total,39.0
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Other ethnic group,High tariff,12.6
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Other ethnic group,High tariff,13.5
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Other ethnic group,Total,46.6
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Other ethnic group,Total,59.3
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,White,High tariff,9.5
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,White,High tariff,10.0
200708,Academic year,National,E92000001,England,By Age 19,Ethnic Group,White,Total,33.6
200708,Academic year,National,E92000001,England,By Age 25,Ethnic Group,White,Total,41.0
200809,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,High tariff,15.4
200809,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,High tariff,14.7
200809,Academic year,National,E92000001,England,By Age 25,Ethnic Group,Asian / Asian British,Total,66.4
200809,Academic year,National,E92000001,England,By Age 19,Ethnic Group,Asian / Asian British,Total,56.7
