time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
201415,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,By Age 25,Free School Meals,All Other Pupils,High tariff,10.4
201415,Academic year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,By Age 25,Free School Meals,All Other Pupils,High tariff,11.8
201415,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,By Age 25,Free School Meals,All Other Pupils,High tariff,10.1
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,By Age 25,Free School Meals,All Other Pupils,High tariff,13.4
201415,Academic year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,By Age 25,Free School Meals,All Other Pupils,High tariff,16.9
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,By Age 25,Free School Meals,All Other Pupils,High tariff,7.2
201415,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,By Age 25,Free School Meals,All Other Pupils,High tariff,13.7
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,By Age 25,Free School Meals,All Other Pupils,High tariff,12.1
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,By Age 25,Free School Meals,All Other Pupils,High tariff,12.3
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,By Age 25,Free School Meals,All Other Pupils,High tariff,13.1
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,By Age 25,Free School Meals,All Other Pupils,High tariff,8.1
201415,Academic year,National,E92000001,England,,,,,,By Age 25,Free School Meals,All Other Pupils,High tariff,13.9
201415,Academic year,National,E92000001,England,,,,,,By Age 25,Free School Meals,All Other Pupils,Total,53.9
201415,Academic year,Regional,E92000001,England,E12000001,North East,,,,By Age 25,Free School Meals,All Other Pupils,Total,53.1
201415,Academic year,Regional,E92000001,England,E12000008,South East,,,,By Age 25,Free School Meals,All Other Pupils,Total,52.5
